Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy pre0tal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly fi0nced pre0tal care, 2005-2008","% teen births, 2005-2008",
Freetown,8963,2293,769,24237,1180,14.02,85.85,15.31,4,0,9.97,4.36,23.34,3.74,
Gardner,20955,5131,3191,18624,5007,25.86,82.24,10.81,13,12.44,7.46,2.87,47.39,11.39,
Georgetown,8023,2345,753,28846,762,10.36,95.4,15.45,0,0,7.58,5.95,7.27,0,
Gill,1392,328,177,23381,266,19.52,86.96,15.22,0,0,0,0,17.78,0,
Gloucester,30671,7075,4708,25595,6055,20.27,93.33,12.22,0,0,7.35,4.9,34.11,5.26,
Goshen,956,203,103,22221,146,16.19,96.67,20,0,0,0,0,0,0,
Gosnold,86,13,11,15265,36,44.44,0,0,0,0,0,0,0,0,
Grafton,16783,4488,1790,26952,2261,15.41,85.53,16.24,2,1.96,6.65,6.06,8.49,1.76,
Granby,6332,1556,746,23209,757,12.5,92.39,8.02,0,0,8.02,7.45,16.04,4.26,
Granville,1644,459,169,22315,228,15.13,81.4,0,0,0,12.77,0,27.03,0,
Great Barrington,7440,1781,1387,22655,1719,25.03,79.71,12.68,0,0,4.23,4.69,47.55,6.1,
Greenfield,17888,3818,3029,18830,5937,34.06,84.72,12.47,4,5.34,8.17,5.87,48.18,9.48,
Groton,10396,3500,745,33877,838,8.81,80.11,16.67,3,0,7.22,4.42,7.18,0,
Groveland,6591,2030,666,25430,759,12.57,86.7,15.13,2,0,5.88,5.81,7.73,0,
Hadley,4820,918,971,24945,879,18.88,83.65,12.58,1,0,8.81,6.29,23.27,3.77,
Halifax,7805,2021,1027,23738,1157,15.52,88.31,17.15,1,0,7.44,10.36,15.86,5.18,
Hamilton,8334,2320,844,33222,608,7.94,96.16,12.69,0,0,7.51,7.07,22.14,0,
Hampden,5312,1409,684,26690,600,11.86,95.5,14.78,0,0,11.02,5.08,13.16,0,
Hancock,1018,227,129,22250,170,23.61,70.83,0,0,0,0,0,25,0,
Hanover,14077,4167,1517,30268,921,7.01,92.28,17.57,1,1.93,5.79,6.76,7.36,1.16,
Hanson,9915,2823,877,23727,1137,12.04,89.83,14.89,1,0,7.44,5.96,16.96,3.72,
Hardwick,2655,778,347,20824,581,22.33,82.69,15.38,1,0,0,7.69,27.88,6.73,
Harvard,6116,1545,428,40867,252,4.81,79.84,20.97,0,0,4.84,4.84,6.45,0,
Harwich,12673,2268,3811,23063,2301,19.09,87.27,14.25,2,0,5.18,2.58,32.38,4.39,
Hatfield,3280,658,548,24813,400,12.33,94.57,12.9,0,0,0,8.6,18.28,0,
Haverhill,60032,16486,7632,23280,12578,21.82,85.73,14.65,20,5.65,8.25,4.61,33.4,7.38,
Hawley,345,70,50,17333,118,35.65,83.33,0,0,0,0,0,0,0,
Heath,805,215,81,24777,228,27.84,91.3,0,0,0,0,0,45.45,0,
Hingham,21470,5830,3085,41703,1464,7.45,90.9,19.25,2,2.09,5.32,7.2,5.33,0,
Hinsdale,1811,463,201,19797,419,22.42,64.41,11.86,0,0,8.47,0,35.59,10.17,
Holbrook,10765,2691,1700,23379,1831,17.16,88.25,15,1,1.85,7.59,3.89,26.31,5.37,
Holden,16571,4564,2250,27971,1468,9.5,84.39,14.33,3,4.13,5.52,4.82,7.87,1.79,
Holland,2529,708,211,21770,499,20.9,86.05,8.05,1,0,0,0,24.05,0,
Holliston,13830,4265,1225,32116,1115,8.11,88.33,20.83,2,3.46,7.12,6.4,9.28,1.73,
Holyoke,41089,12549,5938,15913,17695,46.31,74.99,10.61,23,8.72,8.96,2.73,74.86,23.27,
Hopedale,6234,1664,935,24791,586,10.15,89.16,18.4,1,0,7.17,5.98,13.11,0,
Hopkinton,14048,4743,995,41469,969,7.32,88.74,16.26,1,1.52,5.17,5.93,4.13,1.37,
Hubbardston,4340,1375,290,23072,402,10.37,83.52,8.99,0,0,7.87,5.62,9.55,0,
Hudson,18847,4798,2327,26679,2263,12.54,84.45,14.59,5,5.14,8.03,4.32,21.91,3.29,
Hull,11279,2496,1379,26331,1965,17.84,86.52,13.17,3,0,7.26,4.3,24.25,4.57,
Huntington,2180,583,215,19385,450,20.63,85.87,8.7,0,0,7.61,8.7,31.52,6.52,
Ipswich,13285,3122,2053,32516,1892,14.65,95.19,16.81,1,0,8.94,4.38,14.44,2.5,
Kingston,12435,3412,1762,23370,1860,16.06,91.27,17.58,3,5.32,8.16,7.09,19.07,2.3,
Lakeville,10618,2946,1246,26046,810,8.45,83.14,18.44,1,0,12.44,9.86,19.95,5.4,
Lancaster,7069,1632,639,21010,865,15.15,86.84,12.36,2,0,7.12,5.99,16.85,4.49,
Lanesborough,2951,717,382,21106,557,18.63,84.52,7.14,0,0,0,0,24.1,0,
Lawrence,81591,28491,6924,13360,36405,51.46,71.42,15.33,35,6.12,8.72,3.01,72.19,16.58,
Lee,5882,1302,972,19799,1203,20.62,73.6,10.81,0,0,6.49,6.49,40.22,4.86,
Leicester,10953,3054,1292,20822,1372,13.64,81.07,9.09,1,0,5.84,4.9,21.03,6.06,
Lenox,5149,1052,1266,23263,972,19.85,77.34,13.64,0,0,4.55,0,25,0,
Leominster,42120,11063,5353,21769,9714,23.74,80.94,14.17,11,5.33,6.61,3.25,37.9,6.59,
Leverett,1769,380,194,31891,275,16.64,92.11,0,0,0,0,0,13.16,0,
Lexington,30452,8087,5651,46119,2075,6.98,88.34,15.91,3,3.67,6.49,4.9,4.44,0.86,
Leyden,815,208,63,26076,136,17.73,70.59,0,0,0,0,0,0,0,
Lincoln,7935,2491,875,49095,562,7.11,82.82,14.11,1,0,4.91,4.91,3.07,0,
Littleton,8561,2398,1035,31070,1004,12.41,83.73,17.45,0,0,6.37,7.55,5.04,1.65,
Longmeadow,15556,4129,2728,38949,1150,7.56,88.84,16.16,0,0,6.75,7.92,4.46,0,
Lowell,105749,32054,10982,17557,35538,34.95,68.82,12.95,45,6.35,8.87,2.92,54.87,11.6,
Ludlow,21835,4783,3074,20105,2955,15.17,85.41,12.64,4,5.52,7.59,4.69,26.11,5.24,
Lunenburg,10008,2643,1141,26986,1108,11.8,83.25,16.1,2,0,4.68,4.15,16.05,3.89,
Lynn,92186,27770,10590,17492,30085,34.21,76.07,12.36,30,4.98,8.61,3.82,65.65,10.63,
Lynnfield,11540,2908,1940,39560,638,5.53,91.84,21.32,4,0,10.51,8.31,7.53,0,
Malden,56730,12413,7679,22004,12785,22.9,83.25,13.45,25,7.1,8.95,3.84,43.7,3.61,
Manchester by the Sea,5332,1286,851,47910,680,13.08,94.15,12.5,0,0,7.95,9.09,6.29,0,
Mansfield,22933,7075,1422,27441,2321,10.36,82.96,17.54,0,0,5.78,4.72,11.1,1.83,
Marblehead,20285,4869,3127,46738,2071,10.25,87.45,19.02,1,1.39,6.57,6.25,7.87,0.69,
Marion,5316,1294,961,37265,731,14.55,87.9,15.82,0,0,9.88,6.79,15.38,0,
Marlborough,37163,9114,4380,28723,5889,16.42,83.83,14.59,24,10.39,7.28,4.16,36.67,4.5,
Marshfield,24879,6819,2416,28768,2910,12,90.66,17.29,6,5.37,6.98,6.62,14.38,2.51,
Mashpee,14159,3388,2584,25215,1879,14.73,82.17,16.49,4,7.05,6.19,4.41,28.88,6.88,
Mattapoisett,6477,1510,1097,28050,775,12.41,86.14,14.71,1,0,5.81,0,18.18,5.81,
Maynrd,10221,2522,1280,27016,1574,15.14,81.96,13.69,0,0,7.88,5.95,14.65,2.25,
Medfield,12328,4232,1123,42891,687,5.68,87.41,17.63,0,0,5.79,6.02,4.86,0,
Medford,53801,11422,9399,24707,10013,18.68,85.46,11.56,10,3.81,7.71,5.25,27.99,2.25,
Medway,12780,4244,1177,27578,1079,8.75,89.81,14.89,0,0,6.68,4.77,11.75,1.91,
Melrose,26366,6084,4427,30347,2995,11.18,91.4,15.74,5,3.93,5.98,5.35,11.44,1.02,
Mendon,5743,1700,465,27693,548,10.37,94.06,23.53,1,0,8.33,8.29,7.29,0,
Merrimac,6350,1905,697,24869,559,9.17,90,18.72,2,0,9.85,5.85,15.38,3.41,
Methuen,44532,11717,6653,22305,7947,18.33,82.23,17.22,7,3,7.39,3.56,30.24,5.79,
Middleborough,21153,5913,2264,20246,3401,17.52,82.39,18.08,4,3.64,7.56,3.55,31.67,7.38,
Middlefield,549,126,52,24137,146,25.17,81.25,0,0,0,0,0,37.5,0,
Middleton,9077,2206,852,29031,576,9.07,89.47,17.13,1,0,9.96,9.45,9.64,0,
Milford,27523,6971,3385,23742,5056,19.1,86.81,18.11,3,1.8,8.69,4.85,36.26,4.07,
Millbury,13443,3185,2072,23531,2135,17.16,81.67,11.93,1,1.81,5.42,5.06,18.5,3.98,
Millis,7949,2243,735,27957,726,9.27,86.7,18.35,1,0,5.32,2.66,9.57,1.33,
Millville,2938,948,228,20497,435,16.18,94.2,19.73,1,0,8.84,0,27.5,7.48,
Milton,26243,7489,4084,37138,2025,8.09,92.02,18.17,5,4.3,7.39,6.79,9.32,1.2,
Monroe,100,25,16,12400,24,43.64,0,0,0,0,0,0,0,0,
Monson,8744,2267,923,22519,1646,20.4,83.09,16.96,0,0,3.15,3.5,31.54,5.59,
Montague,8416,1862,1318,17794,2556,30.56,84.22,8.35,3,0,6.33,5.05,46.27,8.84,
Monterey,959,170,151,30992,200,21.79,95.83,0,0,0,0,0,43.48,0,
Montgomery,743,168,74,25942,65,10.05,93.33,0,0,0,0,0,0,0,
Mount Washington,135,21,21,50149,27,20.15,0,0,0,0,0,0,0,0,
Nahant,3591,672,695,41807,339,9.49,80.46,15.91,0,0,0,0,10.47,0,
Nantucket,10095,2095,1062,31314,1628,17.22,84.35,11.14,1,1.5,4.97,1.8,39.85,2.56,
Natick,31895,7605,4640,36358,2789,8.8,85.52,13.37,8,4.57,6.57,6.17,6.47,0.8,
Needham,28445,7871,5097,44549,1749,6.24,88.42,18.5,4,3.19,4.78,4.55,3.91,0.48,
New Ashford,247,61,23,28323,21,9.05,0,0,1,0,0,0,0,0,
New Bedford,94502,24834,14602,15602,38803,42.25,72.43,13.69,49,8.72,10.69,2.99,58.25,13.83,
New Braintree,1090,334,88,21072,123,13.38,80,14.29,0,0,0,0,25.71,0,
New Marlborough,1522,388,216,25658,314,22.35,72.22,13.51,0,0,0,0,43.33,0,
New Salem,986,216,97,23234,164,17.81,77.78,0,0,0,0,0,22.22,0,
Newbury,6990,1952,738,34640,839,12.6,90.42,15.45,1,0,8.54,11.29,9.87,2.02,
Newburyport,17395,3702,2438,34187,2417,14.28,91.46,13.47,1,1.32,7.93,6.46,10.76,4.74,
Newton,83346,20781,12660,45708,7489,9.55,87.57,14.65,10,3.01,7.83,6.35,7.19,0.57,
Norfolk,10506,2865,550,32454,414,4.77,83.42,23.46,1,0,7.39,7.62,5,0,
North Adams,14031,3368,2549,16381,5490,39.43,88.92,11.67,3,4.59,9.34,4.43,64.86,13.3,
North Andover,27137,7670,3652,34335,2604,10.29,86.84,20.5,7,5.59,7.93,7.82,11.38,1.44,
North Attleboro,28078,7561,2622,25974,3799,14.08,84.1,17.09,1,0.7,7.01,5.8,15.51,2.24,
